<<<<<<< HEAD
Petition,URL,State,Signatures Count,Health,Crime/Safety,Government,Vehicles,Entertainment/Spectation,Socialising/Participation,Education,Environment,Animals
Continue the ban on the use of Neonicotinoids,https://petition.parliament.uk/petitions/563943,open,82753,,,,,,,,1,
Don't criminalise paying for sex. ,https://petition.parliament.uk/petitions/563987,open,3980,,1,,,,,,,
Lower the cost of British Citizenship applications to £372.,https://petition.parliament.uk/petitions/564011,open,15578,,,1,,,,,,
Independent review of the NHS dental contract,https://petition.parliament.uk/petitions/564154,open,10021,1,,,,,,,,
"Prioritise COVID-19 vaccines for first responders (police, fire, ambulance)",https://petition.parliament.uk/petitions/564155,open,60513,1,,,,,,,,
Close the borders until coronavirus is defeated,https://petition.parliament.uk/petitions/564165,open,1785,1,,,,,,,,
Close schools in Tier 4 areas,https://petition.parliament.uk/petitions/564209,open,194050,1,,,,,,,,
Require negative covid test to enter the UK,https://petition.parliament.uk/petitions/564229,open,49434,1,,,,,,,,
Allow driving tests and lessons to continue in Tier 4,https://petition.parliament.uk/petitions/564326,open,5483,,,,1,,,,,
"After the vaccine roll-out to high risk groups, remove ALL covid-19 restrictions",https://petition.parliament.uk/petitions/564347,open,10631,1,,,,,,,,
Recall Parliament now to scrutinise new Christmas coronavirus restrictions,https://petition.parliament.uk/petitions/564421,open,12245,,,1,,,,,,
Urge Sri Lanka to allow the burial of Covid victims to respect religious beliefs,https://petition.parliament.uk/petitions/564427,open,6011,,,1,,,,,,
All key workers  to be higher up the list for coronavirus vaccine,https://petition.parliament.uk/petitions/564466,open,6053,1,,,,,,,,
Promptly create an awareness campaign detailing effects of COVID19 on children.,https://petition.parliament.uk/petitions/564509,open,2663,1,,,,,,,,
Keep estate agents closed in tier 4 and lockdowns,https://petition.parliament.uk/petitions/564530,open,4236,1,,,,,,,,
Fund the provision of more allotment sites,https://petition.parliament.uk/petitions/564572,open,1220,,,,,,,,1,
Ban non-medical professionals from giving injections for aesthetic procedures,https://petition.parliament.uk/petitions/564579,open,1569,1,,,,,,,,
Cancel GCSE and A-levels in 2021 replace with Course Work and Teacher Assessment,https://petition.parliament.uk/petitions/564696,open,156995,,,,,,,1,,
Extend the Furlough Support Scheme to include new hires after 30th October.,https://petition.parliament.uk/petitions/564785,open,6212,,,1,,,,,,
Include public transport workers in priority groups for covid 19 vaccination,https://petition.parliament.uk/petitions/564819,open,10815,1,,,,,,,,
Extend areas reserved for domestic fishing from 6 to 12 miles by end of 2021,https://petition.parliament.uk/petitions/564955,open,2880,,,1,,,,,,
Require halal and kosher certified products be prominently labelled as such,https://petition.parliament.uk/petitions/565002,open,1694,,,1,,,,,,
Increase the national speed limit for Vans with a GVW up to 3.5 Tonnes.,https://petition.parliament.uk/petitions/565070,open,3908,,,,1,,,,,
Waive the January 2021 tax bill for those who have been excluded from the SEISS,https://petition.parliament.uk/petitions/565074,open,11892,,,1,,,,,,
Change law to mean that if an adult discovers a dead body it must be reported,https://petition.parliament.uk/petitions/565191,open,1577,,1,,,,,,,
Introduce a 24hr a day Covid-19 vaccination programme to speed up rollout,https://petition.parliament.uk/petitions/565197,open,4055,1,,,,,,,,
Seek Europe-wide short term work permits for the photographic industry,https://petition.parliament.uk/petitions/565316,open,2405,,,1,,,,,,
Add nursery stores to the list of essential shops,https://petition.parliament.uk/petitions/565378,open,8258,1,,,,,,,,
"Fund research, treatment and awareness of Functional Neurological Disorder",https://petition.parliament.uk/petitions/565418,open,5455,1,,,,,,,,
Prioritise funeral workers for COVID vaccine.,https://petition.parliament.uk/petitions/565608,open,6481,1,,,,,,,,
All Rescue Back Up Contact Details On Microchips Must Remain Registered For Life,https://petition.parliament.uk/petitions/565612,open,1397,,,,,,,,,1
Seek common travel area between GB NI & ROI for Guide dogs & Assistance dogs,https://petition.parliament.uk/petitions/565677,open,3346,1,,,,,,,,
Apply to join the European Union Single Market,https://petition.parliament.uk/petitions/565970,open,3994,,,1,,,,,,
Ban vaccines being administered in a manner not fully tested in clinical trials,https://petition.parliament.uk/petitions/566116,open,2041,1,,,,,,,,
All pupils to repeat this current academic year.,https://petition.parliament.uk/petitions/566160,open,2455,,,,,,,1,,
Prioritise special school staff in Covid 19 vaccinations.,https://petition.parliament.uk/petitions/566217,open,28782,1,,,,,,,,
Ban Blanket No Pet Clauses in Tenancy Agreements & Leases.,https://petition.parliament.uk/petitions/566355,open,5914,,,,,,,,,1
Include Cabin Crew as frontline staff and prioritise for Covid 19 vaccine,https://petition.parliament.uk/petitions/566460,open,2366,1,,,,,,,,
Allow the armed forces to train in their own gym facilities during Covid-19.,https://petition.parliament.uk/petitions/566685,open,10320,1,,,,,,,,
Shut all nurseries and early years settings during lockdown,https://petition.parliament.uk/petitions/566718,open,103007,1,,,,,,,,
Prioritise early years practitioners to urgently receive Covid 19 vaccine.,https://petition.parliament.uk/petitions/566743,open,4581,1,,,,,,,,
Cancel A-level and GCSE exams 2022,https://petition.parliament.uk/petitions/566760,open,30213,,,,,,,1,,
Reduce content for 2022 A-level and GCSE exams,https://petition.parliament.uk/petitions/566803,open,3683,,,,,,,1,,
Make prison staff top priority as key workers to recieve the covid 19 vaccine,https://petition.parliament.uk/petitions/567308,open,10866,1,,,,,,,,
"Prioritise Key Retail Workers, being offered the Covid Vaccine!",https://petition.parliament.uk/petitions/567426,open,41405,1,,,,,,,,
Open gyms first as we come out of lockdown & fund a Work Out to Help Out scheme,https://petition.parliament.uk/petitions/567492,open,37036,1,,,,,,,,
Extend the expiry date of CBT certificate as lockdown means they cant be renewed,https://petition.parliament.uk/petitions/567582,open,1796,,,,1,,,,,
Ensure counsellors and psychotherapists are added to the list of critical worker,https://petition.parliament.uk/petitions/568084,open,4243,1,,,,,,,,
Amend GCSE exam content for children that are now in year 9 and year 10,https://petition.parliament.uk/petitions/568162,open,23902,,,,,,,1,,
Make FFP3 masks available to all staff working with SARS-CoV2,https://petition.parliament.uk/petitions/568185,open,3129,1,,,,,,,,
Stop Whitehaven Coal Mine in Cumbria,https://petition.parliament.uk/petitions/568475,open,3596,,,,,,,,1,
Require universities to publish how tuition fees are spent,https://petition.parliament.uk/petitions/568542,open,2204,,,,,,,1,,
A national holiday and day of remembrance for those lost in the COVID pandemic,https://petition.parliament.uk/petitions/568631,open,7362,,,1,,,,,,
Review and increase expense rates for employees travelling outside the UK,https://petition.parliament.uk/petitions/568712,open,3995,,,1,,,,,,
Create a compensation fund for live events in light of Covid-19,https://petition.parliament.uk/petitions/568753,open,1588,,,,,1,,,,
Overturn the decision to allow the use of neonicotinoid pesticides,https://petition.parliament.uk/petitions/569214,open,42490,,,,,,,,1,
Stop the ban of 4D and 3D registration plates,https://petition.parliament.uk/petitions/569318,open,11773,,,,1,,,,,
Fight of Our Lives: Reform mental health support for veterans,https://petition.parliament.uk/petitions/569451,open,2008,1,,,,,,,,
Make it law for EHCP assessments to be automatically available.,https://petition.parliament.uk/petitions/569574,open,3164,,,,,,,1,,
Change COVID-19 critical workers list to include all veterinary staff,https://petition.parliament.uk/petitions/569590,open,12857,,,,,,,,,1
Do not rollout Covid-19 vaccine passports,https://petition.parliament.uk/petitions/569957,open,34527,,,1,,,,,,
Don't scrap funding for BTEC Performing Arts,https://petition.parliament.uk/petitions/570179,open,12680,,,,,,,1,,
Provide Covid testing kits for private nurseries and early years settings,https://petition.parliament.uk/petitions/570316,open,1954,1,,,,,,,,
"Do not give consent for another Scottish Independence Referendum
",https://petition.parliament.uk/petitions/570779,open,72305,,,1,,,,,,
Review rules for the movement of poultry between GB and NI/RoI,https://petition.parliament.uk/petitions/570817,open,1096,,,1,,,,,,
Permanently reduce the Lifetime ISA (LISA) withdrawal penalty from 25% to 20%.,https://petition.parliament.uk/petitions/570826,open,5976,,,1,,,,,,
Exclude individual motorcyclists from Coronavirus travel restrictions,https://petition.parliament.uk/petitions/570835,open,1192,,,,1,,,,,
No paupers funeral for our ex-service personnel,https://petition.parliament.uk/archived/petitions/58656,Closed,2674,,,1,,,,,,
Legalise Pagan & Wiccan Handfastings in England and Wales,https://petition.parliament.uk/archived/petitions/74615,Closed,1436,,,1,,,,,,
Funding for Research into Congenital Diaphragmatic Hernia (CDH),https://petition.parliament.uk/archived/petitions/33898,Closed,35853,1,,,,,,,,
Stop Holiday companies charging extra in school holidays,https://petition.parliament.uk/archived/petitions/46455,Closed,170931,,,1,,,,,,
Tougher sentencing for people who cause gross cruelty to animals,https://petition.parliament.uk/archived/petitions/4465,Closed,1574,,,,,,,,,1
Allow dogs to travel on Eurostar in a designated carriage,https://petition.parliament.uk/archived/petitions/66847,Closed,3525,,,,,,,,,1
"A Call for the government to implement its manifesto promise, to end unfair financial transaction charges and to reintroduce an APR Limit.",https://petition.parliament.uk/archived/petitions/14591,Closed,1169,,,1,,,,,,
Ian Duncan Smith: Live on £53 for one week,https://petition.parliament.uk/archived/petitions/47898,Closed,10978,,,1,,,,,,
Ukraine-EU Association and Trade Agreements,https://petition.parliament.uk/archived/petitions/57825,Closed,1283,,,1,,,,,,
Are some car insurers killing off Speed Awareness Courses?,https://petition.parliament.uk/archived/petitions/47243,Closed,1623,,1,,,,,,,
UKIP's Nigel Farage to be involved in ALL 2015 General Election televised debates,https://petition.parliament.uk/archived/petitions/70117,Closed,2196,,,1,,,,,,
Advertising Standards Authority Ltd Investigation as Non-Govt. Regulator of Advertising,https://petition.parliament.uk/archived/petitions/58269,Closed,2872,,,1,,,,,,
Protect access to Dungeness beach,https://petition.parliament.uk/archived/petitions/18192,Closed,2018,,,,,,,,1,
To set up an independent public enquiry into the conduct of the various investigations into the reported disappearance of Madeleine McCann,https://petition.parliament.uk/archived/petitions/69944,Closed,1887,,1,,,,,,,
GDC ARF,https://petition.parliament.uk/archived/petitions/66982,Closed,15244,1,,,,,,,,
Cervical Cancer Awareness in memory of Natalie Poole,https://petition.parliament.uk/archived/petitions/71169,Closed,2642,1,,,,,,,,
Petition to change the priority lists when giving organ allocations.,https://petition.parliament.uk/archived/petitions/51282,Closed,1949,1,,,,,,,,
"MP's pensions should reflect public sector workers, minimum 35 yrs service for a full pension.",https://petition.parliament.uk/archived/petitions/40413,Closed,11433,,,1,,,,,,
Izzy's Wish (Giving Families Hope),https://petition.parliament.uk/archived/petitions/62727,Closed,1266,1,,,,,,,,
Ben Needham Needs more backing by British Government,https://petition.parliament.uk/archived/petitions/52437,Closed,19521,,1,,,,,,,
Abu Qtada,https://petition.parliament.uk/archived/petitions/27934,Closed,1501,,,1,,,,,,
North Cyprus Recognition,https://petition.parliament.uk/archived/petitions/14563,Closed,1094,,,1,,,,,,
Stop the badger cull NOW,https://petition.parliament.uk/archived/petitions/54685,Closed,10270,,,,,,,,,1
Queensbury Tunnel,https://petition.parliament.uk/archived/petitions/59903,Closed,1360,,,,,,,,1,
Relax immigration rules for elderly dependent relatives of British Citizens,https://petition.parliament.uk/archived/petitions/36798,Closed,1534,1,,,,,,,,
Public inquiry into the implications of GCHQ's 'Tempora' programme,https://petition.parliament.uk/archived/petitions/51959,Closed,1580,,,1,,,,,,
Inclusion of Vasa Previa/Velamentous Cord Insertion to the 20 week anomally scan,https://petition.parliament.uk/archived/petitions/36657,Closed,3109,1,,,,,,,,
Save The Leeds General Infirmary Children's Heart Surgery,https://petition.parliament.uk/archived/petitions/14542,Closed,6725,1,,,,,,,,
Make St.Georges Day a Bank Holiday,https://petition.parliament.uk/archived/petitions/56336,Closed,3038,,,1,,,,,,
Lower the age for a smear test to 20,https://petition.parliament.uk/archived/petitions/61335,Closed,14934,1,,,,,,,,
Exclude Vulnerable Severe & Enduring Mental Health Sufferers from DLA Assessments in 2013,https://petition.parliament.uk/archived/petitions/35092,Closed,12119,1,,,,,,,,
Recognise personal vaporizers as legitimate non-tobacco products,https://petition.parliament.uk/archived/petitions/38667,Closed,1430,1,,,,,,,,
Restore Shareholder Democracy by Ensuring Nominee Account Shareholders are on Share Registers by Default,https://petition.parliament.uk/archived/petitions/16769,Closed,1424,,,1,,,,,,
Stop Cartoons and film against Islam in USA,https://petition.parliament.uk/archived/petitions/38734,Closed,1251,,,1,,,,,,
Request to adjourn the new police pension scheme due to be implemented on 1st April 2015.,https://petition.parliament.uk/archived/petitions/74702,Closed,24671,,,1,,,,,,
Right to register the birth of a pre-term baby (pre 24 weeks),https://petition.parliament.uk/archived/petitions/21029,Closed,1186,,,1,,,,,,
Save Liverpool Children's Centres,https://petition.parliament.uk/archived/petitions/61493,Closed,5484,,,1,,,,,,
UK yachtsmen should be able to use red diesel in UK and foreign waters,https://petition.parliament.uk/archived/petitions/30209,Closed,3840,,,,1,,,,,
all non combat deaths on a military base should have an inquest with jury,https://petition.parliament.uk/archived/petitions/65316,Closed,4330,,1,,,,,,,
Don’t abandon victims of crime –  a national backbone of support is essential to help those in need,https://petition.parliament.uk/archived/petitions/33040,Closed,5008,,1,,,,,,,
Dairy Farmers Demand A Fair Milk Price,https://petition.parliament.uk/archived/petitions/35798,Closed,1329,,,1,,,,,,
Protecting floating maritime heritage,https://petition.parliament.uk/archived/petitions/45755,Closed,1015,,,,,,,,1,
Hassan's Law - Calling for tougher punishments to those caught with a Knife with intent to harm,https://petition.parliament.uk/archived/petitions/53146,Closed,1521,,1,,,,,,,
Urge the South Korean Government to Respect Global Animal Protection Laws and Oppose Legalization of the Dog Meat Trade,https://petition.parliament.uk/archived/petitions/41206,Closed,10164,,,,,,,,,1
Call for Government to scrap its plans on childcare ratio changes and undertake a full consultation with practitioners and parents on future proposals,https://petition.parliament.uk/archived/petitions/45887,Closed,14068,,1,,,,,,,
Save Heatherwood Hospital and NHS Services in Berkshire,https://petition.parliament.uk/archived/petitions/18258,Closed,1622,1,,,,,,,,
To stop Scottish MPs voting on English law in Parliament,https://petition.parliament.uk/archived/petitions/3896,Closed,2340,,,1,,,,,,
Royal Independent Commission for the Investigation of the Public House Tradee Public,https://petition.parliament.uk/archived/petitions/6844,Closed,1872,,,1,,,,,,
Ban Halal slaughter and halal meat sale in Great Britatin unless clearly labelled in shops and clearly signed in restaurants,https://petition.parliament.uk/archived/petitions/37206,Closed,1322,,,1,,,,,,
City status for Luton,https://petition.parliament.uk/archived/petitions/25071,Closed,2799,,,1,,,,,,
Legalise cannabis,https://petition.parliament.uk/archived/petitions/29,Closed,28507,,1,,,,,,,
Think Horse and Rider - National Advert,https://petition.parliament.uk/archived/petitions/75042,Closed,6419,,1,,,,,,,
Routinely Test For Strep B in pregnancy,https://petition.parliament.uk/archived/petitions/43712,Closed,11785,1,,,,,,,,
Ending the conflict in Palestine,https://petition.parliament.uk/archived/petitions/51828,Closed,2322,,,1,,,,,,
Boston Lincs road by-pass,https://petition.parliament.uk/archived/petitions/69648,Closed,1109,,,,,,,,1,
Dyslexia training to be mandatory in Initial Teacher Training,https://petition.parliament.uk/archived/petitions/20674,Closed,19127,,,,,,,1,,
Repeal the Digital Economy Act,https://petition.parliament.uk/archived/petitions/11,Closed,1331,,,1,,,,,,
Stop the Flooding on the Somerset Levels,https://petition.parliament.uk/archived/petitions/45055,Closed,5305,,,,,,,,1,
Tell Eric Pickles that allotments must not be sold off!,https://petition.parliament.uk/archived/petitions/61225,Closed,19765,,,,,,,,1,
HMRC confidential info leak,https://petition.parliament.uk/archived/petitions/42143,Closed,41292,,,1,,1,,,,
Make St. George's Day a Public Holiday,https://petition.parliament.uk/archived/petitions/1255,Closed,4266,,,1,,,,,,
Save Lives Save Refuge Services – protect life saving domestic violence services from the impact of welfare reform,https://petition.parliament.uk/archived/petitions/45058,Closed,4223,,1,,,,,,,
INCREASE the number of Staff Nurses on wards: Nurses WANT to provide excellent patient care so make it possible,https://petition.parliament.uk/archived/petitions/47713,Closed,1240,1,,,,,,,,
Ban the sale of cot bumpers save our babies lives,https://petition.parliament.uk/archived/petitions/54991,Closed,10408,,1,,,,,,,
The Parental Passport Campaign: A petition for changes that would allow parents and legal guardians to be named on childrens' passports,https://petition.parliament.uk/archived/petitions/55636,Closed,3782,,,1,,,,,,
Stop Ian Duncan Smith Rolling out Prepaid Benefit Cards,https://petition.parliament.uk/archived/petitions/70218,Closed,5624,,,1,,,,,,
Call for the Prime Minister to intervene in the HMRC v Rangers Football Club tax issue,https://petition.parliament.uk/archived/petitions/29635,Closed,5107,,,,,1,,,,
Change in law for Equine charities to remove suffering animals,https://petition.parliament.uk/archived/petitions/60985,Closed,17655,,,,,,,,,1
"Durham Tees Valley Airport, secure its future",https://petition.parliament.uk/archived/petitions/25950,Closed,1879,,,,,,,,1,
Allow immigration of non EU spouses,https://petition.parliament.uk/archived/petitions/34835,Closed,3287,,,1,,,,,,
Your GP cares,https://petition.parliament.uk/archived/petitions/65093,Closed,5440,1,,,,,,,,
Guarantee Dental Foundation Training places for UK graduates,https://petition.parliament.uk/archived/petitions/40302,Closed,3805,1,,,,,,,,
Peace in Burma - Please do something more Mr Cameron,https://petition.parliament.uk/archived/petitions/32542,Closed,34874,,,1,,,,,,
GP charges for copying medical records,https://petition.parliament.uk/archived/petitions/33350,Closed,1581,,,1,,,,,,
Tunnel fixed link to Isle of Wight,https://petition.parliament.uk/archived/petitions/67752,Closed,5001,,,,,,,,1,
Make Pagan Handfastings Legal in England and Wales,https://petition.parliament.uk/archived/petitions/55343,Closed,1134,,,1,,,,,,
Make Holiday Safety Compulsory,https://petition.parliament.uk/archived/petitions/64474,Closed,1436,,1,,,,,,,
withdraw from the european human rights act,https://petition.parliament.uk/archived/petitions/867,Closed,8285,,,1,,,,,,
The Oliver King Foundation - SADS,https://petition.parliament.uk/archived/petitions/29399,Closed,110704,1,,,,,,,,
Animal Cruelty Improved legislation,https://petition.parliament.uk/archived/petitions/34522,Closed,39119,,,,,,,,,1
Support an Independent Kurdish State,https://petition.parliament.uk/archived/petitions/311,Closed,3168,,,1,,,,,,
Protect The Human Rights Act,https://petition.parliament.uk/archived/petitions/46637,Closed,2871,,,1,,,,,,
Reconsider West Coast Mainline franchise decision,https://petition.parliament.uk/archived/petitions/37180,Closed,174578,,,1,,,,,,
Burial of King Richard the III at a catholic burial site,https://petition.parliament.uk/archived/petitions/38533,Closed,1228,,,,,,,,1,
Do NOT make registered vehicle keepers liable for parking penalties,https://petition.parliament.uk/archived/petitions/6342,Closed,7710,,,,1,,,,,
Include endometriosis as a disability under the Disability Discrimination Act,https://petition.parliament.uk/archived/petitions/21088,Closed,2108,1,,,,,,,,
Petition to expel the Syrian diplomats and ambassador.,https://petition.parliament.uk/archived/petitions/25418,Closed,1789,,,1,,,,,,
STOP Female Genital Mutilation (FGM / ‘cutting’) in Britain,https://petition.parliament.uk/archived/petitions/35313,Closed,2785,,1,,,,,,,
Save the buy-to-let mortgage,https://petition.parliament.uk/archived/petitions/22767,Closed,3201,,,1,,,,,,
Wanted: Equal Pay Auditing,https://petition.parliament.uk/archived/petitions/29254,Closed,6349,,,1,,,,,,
Retrial for Marine Sergeant Blackman,https://petition.parliament.uk/archived/petitions/65422,Closed,1235,,,1,,,,,,
Ban the sale of Chinese Lanterns,https://petition.parliament.uk/archived/petitions/57502,Closed,2546,,1,,,,,,,
Save Legal Aid,https://petition.parliament.uk/archived/petitions/2436,Closed,1893,,,1,,,,,,
Absolute right to self-defence within ones home,https://petition.parliament.uk/archived/petitions/172,Closed,8373,,1,,,,,,,
Urgent Review of Noise Abatement legislation,https://petition.parliament.uk/archived/petitions/65582,Closed,15954,,,,,,,,1,
PLEASE  BRING FORWARD  KEVIN WILLIAMS INQUEST,https://petition.parliament.uk/archived/petitions/40925,Closed,106210,,1,,,,,,,
Stop Operation Stack on the M20,https://petition.parliament.uk/archived/petitions/74083,Closed,1572,,,,,,,,1,
Save Coventry Stadium,https://petition.parliament.uk/archived/petitions/70559,Closed,3109,,,,,,,,1,
HM Government to remove Clause 8 from the Growth & Infrastructure Bill and retain the legislation protecting the natural beauty of our National Parks,https://petition.parliament.uk/archived/petitions/43461,Closed,1880,,,,,,,,1,
Make First Aid Compulsory In Schools,https://petition.parliament.uk/archived/petitions/51756,Closed,1551,,,,,,,1,,
Rugby St.Cross hospital,https://petition.parliament.uk/archived/petitions/61666,Closed,3124,1,,,,,,,,
TAX JUSTICE,https://petition.parliament.uk/archived/petitions/18996,Closed,9529,,,1,,,,,,
Thatcher state funeral to be privatised,https://petition.parliament.uk/archived/petitions/18914,Closed,33832,,,1,,,,,,
RE and the English Baccalaureate,https://petition.parliament.uk/archived/petitions/129,Closed,1738,,,,,,,1,,
REVIEW THE SMOKING BAN,https://petition.parliament.uk/archived/petitions/14103,Closed,5564,,,,,,1,,,
SMASH SMA  Free screening for Spinal Muscular Atrophy,https://petition.parliament.uk/archived/petitions/25997,Closed,4091,1,,,,,,,,
Negotiations on changes to the Teachers’ Pension Scheme,https://petition.parliament.uk/archived/petitions/29103,Closed,32121,,,,,,,1,,
stop the government from taking disabilty benefit people,https://petition.parliament.uk/archived/petitions/36522,Closed,1699,1,,,,,,,,
Closure of Camphill site part of HMP Isle of Wight,https://petition.parliament.uk/archived/petitions/44456,Closed,2524,,1,,,,,,,
Weekend Courts (also known as Flexible CJS),https://petition.parliament.uk/archived/petitions/37126,Closed,1586,,1,,,,,,,
Funding of Biomedical Research into CFS/ME,https://petition.parliament.uk/archived/petitions/491,Closed,1633,1,,,,,,,,
Dual the A1 from Morpeth to Berwick,https://petition.parliament.uk/archived/petitions/38183,Closed,1235,,,,,,,,1,
Change NHS Breastfeeding Guidelines to match WHO Breastfeeding Guidelines,https://petition.parliament.uk/archived/petitions/64378,Closed,3583,1,,,,,,,,
Award of a National Defence Medal,https://petition.parliament.uk/archived/petitions/2311,Closed,6281,,,1,,,,,,
Ban the sale of Angora rabbit fur products in the UK,https://petition.parliament.uk/archived/petitions/57874,Closed,1386,,,,,,,,,1
Grant UKIP new seats in the House of Lords,https://petition.parliament.uk/archived/petitions/65630,Closed,1116,,,1,,,,,,
Tell Us What You're Doing For Micro Enterprises Not For 'SMEs',https://petition.parliament.uk/archived/petitions/18396,Closed,1064,,,1,,,,,,
EEA Winter Fuel Allowance should remain for Mainland France expats,https://petition.parliament.uk/archived/petitions/73297,Closed,1262,,,1,,,,,,
Homeless Soldiers - Make The Armed Forces Covenant Law,https://petition.parliament.uk/archived/petitions/74311,Closed,2685,,,1,,,,,,
CLOSE DOWN LITTLE RASCALS PUPPY FARM IN LINCS,https://petition.parliament.uk/archived/petitions/71367,Closed,7267,,,,,,,,,1
Greater support for vulnerable children adopted from care,https://petition.parliament.uk/archived/petitions/14435,Closed,1744,1,,,,,,,,
SUPPORT DEMOCRACY IN EGYPT: BOYCOTT PUPPET GOVERNMENT INSTALLED AFTER THE MILITARY COUP,https://petition.parliament.uk/archived/petitions/53005,Closed,1230,,,1,,,,,,
Havering council to retain an ice rink in Romord.,https://petition.parliament.uk/archived/petitions/6496,Closed,1256,,,,,,1,,,
Facilitate correction of tongue-tie in newborn babies within three days from birth,https://petition.parliament.uk/archived/petitions/36614,Closed,2962,1,,,,,,,,
Reform Post-Mortem procedures - Dont torture the dead,https://petition.parliament.uk/archived/petitions/22838,Closed,14149,,,1,,,,,,
Stop MP's banning fees charged by agents to tenants in an amendment to the Consumer Rights Bill.,https://petition.parliament.uk/archived/petitions/64975,Closed,4423,,,1,,,,,,
Protect youth work and youth services,https://petition.parliament.uk/archived/petitions/4671,Closed,2277,,,1,,,,,,
Toast the Tax,https://petition.parliament.uk/archived/petitions/34610,Closed,20798,,,1,,,,,,
Robbie's Law - A Legal 'Duty of Candour' for all Healthcare Professionals,https://petition.parliament.uk/archived/petitions/34926,Closed,1330,1,,,,,,,,
The British Government act to quell the 'harassment' of Gibraltar by a fellow European state - Spain,https://petition.parliament.uk/archived/petitions/26238,Closed,1773,,,1,,,,,,
Human Rights Act should be revoked.,https://petition.parliament.uk/archived/petitions/411,Closed,2929,,,1,,,,,,
Democracy in Hong Kong,https://petition.parliament.uk/archived/petitions/37980,Closed,3571,,,1,,,,,,
Ban Surface Dressing roads,https://petition.parliament.uk/archived/petitions/67408,Closed,14150,,1,,,,,,,
Stop the privatisation of London Fire Brigade Training,https://petition.parliament.uk/archived/petitions/14313,Closed,1073,,1,,,,,,,
Return of Hanging for Serious Crimes,https://petition.parliament.uk/archived/petitions/1364,Closed,3987,,1,,,,,,,
Re-think proposed Planning Reform,https://petition.parliament.uk/archived/petitions/13153,Closed,1129,,,,,,,,1,
"Right to decide to reduce homosexual feelings where posible, using professional help",https://petition.parliament.uk/archived/petitions/38542,Closed,2067,1,,,,,,,,
Universal housing benefits to be paid to landlords,https://petition.parliament.uk/archived/petitions/35479,Closed,3406,,,1,,,,,,
Think again on unfair Granny Tax on pensions,https://petition.parliament.uk/archived/petitions/31908,Closed,2887,,,1,,,,,,
Suspension of Overseas Aid,https://petition.parliament.uk/archived/petitions/814,Closed,1325,,,1,,,,,,
Free Prescriptions for Organ Transplant Recipients,https://petition.parliament.uk/archived/petitions/54439,Closed,5141,1,,,,,,,,
UFO and Extraterrestrial Disclosure,https://petition.parliament.uk/archived/petitions/7812,Closed,1605,,,1,,,,,,
medal for parents of fallen,https://petition.parliament.uk/archived/petitions/45269,Closed,2051,,,1,,,,,,
Save our Hedgehogs,https://petition.parliament.uk/archived/petitions/13085,Closed,1593,,,,,,,,,1
Ban driven grouse shooting,https://petition.parliament.uk/archived/petitions/65627,Closed,22399,,,,,,,,1,
Award Walter Tull his posthumous Military Cross,https://petition.parliament.uk/archived/petitions/41209,Closed,3031,,,1,,,,,,
Inquiry into government ministers connections with private healthcare companies.,https://petition.parliament.uk/archived/petitions/40126,Closed,1173,,,1,,,,,,
Give people on carers allowance working tax credits,https://petition.parliament.uk/archived/petitions/43362,Closed,2361,,,1,,,,,,
Harvey's Law,https://petition.parliament.uk/archived/petitions/62490,Closed,123307,,,,,,,,,1
Save Liverpool Women's Hospital,https://petition.parliament.uk/archived/petitions/76041,Closed,2108,1,,,,,,,,
Save Bassingbourn Snowsports Club,https://petition.parliament.uk/archived/petitions/43103,Closed,1713,,,,,,1,,,
Ban looped blind cords in the UK,https://petition.parliament.uk/archived/petitions/55067,Closed,10179,,1,,,,,,,
Change baby organ donation rules,https://petition.parliament.uk/archived/petitions/62560,Closed,3233,1,,,,,,,,
post office - stop the franchising of Crown Offices,https://petition.parliament.uk/archived/petitions/46277,Closed,1054,,,1,,,,,,
life mean life for child murderers,https://petition.parliament.uk/archived/petitions/52025,Closed,1109,,1,,,,,,,
The Government to apologise for its treatment of ME / CFS patients,https://petition.parliament.uk/archived/petitions/20035,Closed,1519,1,,,,,,,,
A Change In The Postal Voting System,https://petition.parliament.uk/archived/petitions/60915,Closed,1482,,,1,,,,,,
Britain should stop all trade with Israel until the Palestinians have their illegally stolen lands back.,https://petition.parliament.uk/archived/petitions/62333,Closed,70382,,,1,,,,,,
Postpone Norman Bettison's retirement,https://petition.parliament.uk/archived/petitions/39775,Closed,10409,,1,,,,,,,
Introduce meningitis B vaccine into the routine childhood immunisation schedule,https://petition.parliament.uk/archived/petitions/45384,Closed,1948,1,,,,,,,,
mothers of the fallen soldiers to visit Afganistan to lay wreaths at Camp Bastion memorial,https://petition.parliament.uk/archived/petitions/56721,Closed,1435,,,1,,,,,,
Repeal new squatting law (section 144 legal aid bill),https://petition.parliament.uk/archived/petitions/44597,Closed,3248,,1,,,,,,,
Provide Free inhaler prescriptions for Asthma Sufferers in the UK,https://petition.parliament.uk/archived/petitions/69896,Closed,2434,1,,,,,,,,
Ban the sale of young puppies & kittens without their mothers being present,https://petition.parliament.uk/archived/petitions/49528,Closed,111572,,,,,,,,,1
DWP to recognise fibromyalgia as a real disability,https://petition.parliament.uk/archived/petitions/12627,Closed,2561,1,,,,,,,,
Save Clipstone Colliery headstocks,https://petition.parliament.uk/archived/petitions/61497,Closed,2173,,,,,,,,1,
